Column1	Column2
nationale	182
ujunere	182
en?am	181
hammadi	181
holliti	181
jeeri	181
luural	181
makka	181
miliyo?aaji	181
wonnde	181
emin	180
jime	180
murtu?o	180
tonngoode	180
dey	179
idii	179
muttaar	179
tato	179
annabi	178
juuti	178
yahra	178
yaltinde	178
naalankaagal	177
asamaan	176
jokkude	176
juko	176
kolonel	176
lofu	176
safaara	176
persidaa	175
rafi	175
wondude	175
hollitde	174
pari	174
seernaa?e	174
?ataake	173
mbi?o	173
suukara	173
mahmuud	172
semmbe	172
?ee?oo	171
ju??ule	171
faso	170
gollotoo?e	170
leur	170
sellu	170
anc	169
jeneraal	169
that	169
?enni	168
ha?de	168
jeetati	168
dañde	167
jolal	167
miliyaar	167
fam?i	166
kelle	166
ces	165
ja?ii	165
sa	165
to??e	165
wooteeji	165
caam	164
tele	164
koli	163
kosam	163
luure	163
ndiin	163
?eydoo	162
?ur?e	162
e??aande	162
jannginoo?e	162
mudda	162
njulaagu	162
darii	161
fawii	161
saka	161
warngooji	161
abdallaahi	160
diwooje	160
lappol	160
ngal?oo	160
notre	160
tergal	160
wiyaama	160
mum'en	159
musi??o	159
naalanke	159
?anndu	158
?iy	158
jaagorgal	158
joyi	158
konnde	158
yahi	158
dañii	157
jiidaa	157
marse	157
mbaawka	157
afriknaa?e	156
aldaa	156
?ooyaani	156
daawuuda	156
doktoor	156
heblo	156
sar?iiji	156
ganni	155
tiitoonde	155
dee?re	154
kaddaafi	154
maruk	154
ngaluuji	154
njo?di	154
nuwaasot	154
baaw?o	153
?umen	153
mbiyaa	153
ñande	153
poolgu	153
yi?aa	153
be	152
demokaraasi	152
fayndaare	151
janngude	151
fuutankoo?e	150
hoolaare	150
jagge	150
jibi	150
ndiwoowa	150
pu??ii	150
to??ii	150
ugiyya	150
wellitaare	150
aqmi	149
ho??e	149
daarti	148
kewu	148
laatiima	148
lajal	148
paltoor	148
artii	147
?urnde	147
haalpulaar	147
ha?i	147
jeyaa?o	147
mbaawa	147
sahre	147
wa?	147
aadi	146
almaami	146
aset	146
baydi	146
humpito	146
moo?ondiral	146
ndeenka	146
polis	146
wa?tude	146
arafaat	145
?esnguuji	145
engele	145
ha?de	145
lekki	145
ngonnoo	145
pottital	145
wondii?e	145
?i??o	144
miliyaaruuji	144
settaambar	144
yani	144
yowitii	144
?eydi	143
comci	143
dentu?i	143
gon?e	143
goomuuji	143
jeyeede	143
ke?ii	143
mbaare	143
felliti	142
firo	142
ine	142
maayi	142
mais	142
mba?ti	142
sileymaani	142
simoore	142
sosaa	142
coftal	141
jaa?i	141
mbaañ	141
mo??ude	141
sikki	141
snim	141
tee?tude	141
amin	140
gelongal	140
nani	140
neene	140
teewu	140
vous	140
yahii	140
almud?e	139
binndol	139
fittaandu	139
jibini	139
saraaji	139
si	139
wiyata	139
wiyeede	139
bookar	138
ekkol	138
gootal	138
koninkoo?e	138
militeer	138
mjkm	138
non	138
yi??e	138
?ura	137
été	137
juul?o	137
même	137
yaltude	137
geec	136
jaaraama	136
jumaa	136
leppi	136
maay?o	136
ruttii	136
addude	135
cufal	135
heedi	135
kabaruuji	135
maanditaare	135
waasa	135
wontii	135
yiyi	135
?a??i	134
dañi	134
doosgal	134
ibnu	134
kaayit	134
maayii	134
mba?a	134
naatii	134
sagataa?e	134
salaade	134
yolnde	134
jeyaa?e	133
laam	133
laam?e	133
maymuuna	133
ngool	133
njanngu	133
saanga	133
teskaade	133
ar?e	132
ha?kadi	132
naniraa	132
alaseri	131
almuudo	131
are	131
eeraango	131
kollitii	131
lu?al	131
mohammed	131
rokkaa	131
wonata	131
your	131
ara	130
?ennii	130
binndan?e	130
kummba	130
me	130
to??aa	130
ujunnaaje	130
ardaade	129
elimaan	129
haa?i	129
iisaa	129
jim?i	129
kulol	129
ngondi	129
seneraal	129
to??ere	129
di??e	128
dumunna	128
gay	128
jokkondire	128
juuf	128
nagge	128
otooji	128
abdu	127
beeli	127
daranaade	127
firefox	127
gorgol	127
ki	127
lanndaaji	127
tout	127
unesco	127
warhoore	127
yaha	127
yettaade	127
?ettude	127
bun	126
?a??ude	126
doggol	126
jeyanoo	126
keddii?e	126
konngu?i	126
laaw	126
lomtii	126
ñaamde	126
waali	126
binnditagol	125
?a?i	125
diiwanuuji	125
ha?aani	125
ja?de	125
ko?ki	125
malal	125
mbaadi	125
tappirde	125
weli	125
?eydii	124
binndi	124
ganndiraa?o	124
maw?i	124
mo??aani	124
mo??o	124
naalankoo?e	124
nayo	124
ndar	124
ngoodi	124
njettii	124
obama	124
ummaade	124
wa?eede	124
wo?nde	124
woodaani	124
añ?e	123
duwaawu	123
morso	123
ngol?oo	123
niiseer	123
njeñtudi	123
wi?tooji	123
adannde	122
ali	122
ben	122
bon?e	122
?en	122
hojomaaji	122
hooree?e	122
maayir?e	122
mansuur	122
mawni	122
système	122
wiy?e	122
as	121
boni	121
caad	121
fam?ude	121
?anuci	121
garooji	121
ha?aade	121
heege	121
mars	121
moktaar	121
nanii	121
yantude	121
almaañ	120
dolaar	120
je	120
kuugal	120
mbo	120
senngo	120
tabital	120
teemedere	120
korse	119
naamnal	119
sikkaa	119
soldatee?e	119
teskii	119
aadaaji	118
alkamiisa	118
burkinaa	118
conndi	118
haa?tirde	118
harallee?e	118
nst	118
pellital	118
sehilaa?e	118
teskaa	118
aysata	117
golwole	117
gon?i	117
joob	117
konngo	117
law	117
nganndaa	117
salii	117
to?o	117
tolno	117
waylude	117
yontere	117
artude	116
diiso	116
gootel	116
remoo?e	116
eli	115
go??um	115
ho’reejo	115
jinnaa?e	115
kartal	115
ngenndiire	115
suleymaani	115
heewaani	114
hujjaaji	114
japon	114
kattan?e	114
miskinee?e	114
mosloadposition	114
ndaw	114
potaani	114
tawaa	114
winndude	114
yi?ii	114
afirik	113
daleen	113
gollaade	113
jotondiral	113
kajjata	113
kure	113
mbiyata	113
pa?e	113
talaata	113
yiyannde	113
almu??e	112
ba	112
gaas	112
gadanal	112
mawninde	112
tuugnorgal	112
cate	111
ciimtol	111
gar?o	111
jowol	111
kawri	111
nate	111
onon	111
tata?o	111
?ooyii	110
dorog	110
heewii	110
jiyaa?e	110
jokkondirde	110
joomum	110
kesal	110
mette	110
naamnde	110
ndenndi	110
seedantaagal	110
wo??i	110
yurmeende	110
baaw?e	109
faade	109
fu??iima	109
janngoo?e	109
kon	109
koyngal	109
njaaraama	109
winndi	109
with	109
yah	109
ar	108
?urnoo	108
ke?i	108
laa?al	108
naamndii	108
nguuri	108
njeeygu	108
njuulu	108
nuuhu	108
senegal	108
wiyii	108
yaakaare	108
yaltini	108
anndiraa	107
apartaayd	107
fuku	107
kaali	107
louboutin	107
muhammadu	107
ngaari	107
ngarii	107
nguru	107
podoor	107
wutte	107
yamiri	107
ardi	106
?ure	106
dara	106
feewti	106
hojom	106
kaan	106
kumpital	106
kuuge	106
kuutor?e	106
politigi	106
wa?ee	106
wayde	106
arta	105
faal	105
haaju	105
haamiidu	105
he?tude	105
hunuko	105
huutoreede	105
magaama	105
manndaa	105
mbaay	105
ngo?a	105
nijeer	105
sankii	105
teeminannde	105
woon	105
yiyii	105
balle	104
kapiteen	104
likseyba	104
national	104
pecce	104
asakal	103
être	103
fitina	103
hajji	103
maalde	103
sooninke	103
woppude	103
wuurde	103
abbaas	102
ahmadu	102
amadou	102
ceni	102
?i?mere	102
gaynaako	102
hoorde	102
ja?aani	102
keew?o	102
partiiji	102
yaawde	102
arnoo?e	101
bayyinaango	101
daraade	101
faayre	101
jaw	101
mbayliigu	101
reende	101
rewde	101
sokna	101
yu??o	101
ba?te	100
facebook	100
haade	100
jii?ru	100
ñaamo	100
ñaawirde	100
njuuteendi	100
ownoo?e	100
tufnde	100
yettiima	100
elle	99
faraysenaa?e	99
jaw?eele	99
joo?orde	99
kariimu	99
madiina	99
naamndal	99
njettoor	99
njogori	99
rooso	99
ses	99
this	99
tippudi	99
