waɗata	52
ɓaleeɓe	51
ɓesngu	51
fuɗɗii	51
haɗde	51
hikka	51
jaagorɗe	51
jooɗaade	51
laaɗe	51
ngoon	51
pine	51
sammeere	51
saydu	51
worgo	51
yettii	51
dennde	50
ɗon	50
fartaŋŋe	50
jaaɓi	50
mbiya	50
ngootaagu	50
tokosere	50
tuundi	50
yanti	50
alkule	49
binndi	49
cellal	49
dentuɗi	49
fuɗɗaade	49
geɗal	49
gonnooɗo	49
haaɗi	49
havre	49
heɓii	49
heedi	49
juulde	49
keso	49
maayi	49
sankaraa	49
wa	49
addude	48
bamako	48
batte	48
ɓiyɓe	48
cufal	48
deftere	48
fotnoo	48
gaaraaji	48
gootal	48
leƴƴi	48
mayre	48
mbo	48
naa	48
weltaare	48
wudere	48
ba	47
beete	47
diɗɗal	47
dille	47
enable	47
fira	47
heewa	47
jamɗe	47
jolal	47
juuf	47
maanditaare	47
nay	47
tiiɗi	47
ummii	47
waktuuji	47
wuuri	47
yahdu	47
alkulal	46
ɓenni	46
ɓerɗe	46
diwooje	46
gulaali	46
jime	46
miijooji	46
njanngu	46
wonta	46
yaawi	46
baali	45
denndaangal	45
firti	45
gannde	45
muusaa	45
njillu	45
njuɓɓudi	45
noppi	45
salaade	45
tawtoreede	45
toh	45
alhajji	44
ɓiɗɗo	44
cinndel	44
etaade	44
fooɗde	44
hee	44
hettere	44
janngude	44
mayri	44
ngalu	44
nguun	44
puɗɗii	44
rokkude	44
umaar	44
waɗtude	44
wutte	44
yah	44
bonannde	43
ɓurɗo	43
daartol	43
dowla	43
gaarawol	43
gaɗa	43
heɓa	43
hokkude	43
jaaynde	43
jibina	43
keltangal	43
koolaaɗo	43
larme	43
mawndu	43
minen	43
neene	43
paɗe	43
rawaandu	43
tolnoo	43
umar	43
waalo	43
wadde	43
yalti	43
addani	42
ɓooyaani	42
cewɗi	42
feccere	42
gerte	42
hallere	42
kolonel	42
maayɗo	42
mawni	42
mbiy	42
mette	42
ndenno	42
ndimaagu	42
ngenndi	42
nijeer	42
tokoson	42
tuuba	42
ƴiyal	42
yonta	42
bojji	41
cuurki	41
damal	41
enen	41
facebook	41
fijirnde	41
gaaci	41
goɗɗi	41
hedde	41
hirnaange	41
hoolaare	41
huutoree	41
jah	41
kammu	41
kariimu	41
koɗi	41
maymuuna	41
ndeelam	41
ndunngu	41
njeyaa	41
rewo	41
tawde	41
toni	41
wiyaama	41
woppude	41
ɓiyɗo	40
bonanndeeji	40
bonde	40
ɓooyi	40
daleen	40
dewgal	40
doga	40
ellee	40
enɗam	40
fannu	40
giye	40
gollande	40
heewaani	40
jogiiɗo	40
jokkude	40
kaŋŋe	40
kawtal	40
kuutorɗe	40
leyɗe	40
libi	40
naatnude	40
nattii	40
pari	40
sabaabu	40
tergal	40
tiiɗa	40
toɗɗe	40
wonata	40
yamiroore	40
yero	40
yiɗaa	40
yiilaade	40
abdu	39
boni	39
ɓura	39
cate	39
demmba	39
diwde	39
gasi	39
kure	39
ngonaa	39
njiimaandi	39
oɗon	39
sawru	39
suwaa	39
tuubakooɓe	39
ujunere	39
wiy	39
woɗɗi	39
wonti	39
arii	38
ɓalli	38
coggu	38
falnde	38
fetel	38
fuɗnaange	38
gay	38
golloowo	38
jaagorgal	38
jaɓii	38
jimol	38
kan	38
kisa	38
kulibali	38
leegal	38
leeso	38
modiboo	38
ndiwoowa	38
sa	38
sibu	38
siilto	38
waɗnoo	38
wiyeteende	38
yani	38
baɗɗo	37
darii	37
faggudu	37
fay	37
garɗo	37
geeci	37
geno	37
guwernama	37
ilam	37
jeenayi	37
jiɗɗo	37
keɓii	37
loocol	37
mbaare	37
nehdi	37
ngari	37
renndinde	37
talla	37
wadd	37
yumma	37
aldaa	36
android	36
ɓaleeri	36
ene	36
fayti	36
fittaandu	36
gardagol	36
goo	36
huɓeere	36
jibinde	36
joy	36
kaake	36
kapiteen	36
lacciri	36
maalik	36
mawngal	36
seeɗto	36
yahrude	36
yarkomaa	36
ƴetti	36
aali	35
amadou	35
ardii	35
ɓeydude	35
dañde	35
defte	35
dene	35
dokkal	35
ɗoyngol	35
faade	35
gonɗe	35
haaɗde	35
jey	35
jibinaa	35
jokki	35
kese	35
looci	35
maaro	35
mobel	35
morso	35
ngaari	35
njoorndi	35
potal	35
sawndo	35
taƴde	35
teemedere	35
teppere	35
tinaani	35
tokooso	35
waɗnde	35
waktu	35
warde	35
wondiiɓe	35
ƴiye	35
abuu	34
anndi	34
aqmi	34
baawɗo	34
bottaari	34
ceeɗu	34
cer	34
dadiiɓe	34
diidol	34
faayiida	34
fuɗa	34
joginoo	34
jooɗii	34
juulɓe	34
keɓi	34
keytaa	34
luɓal	34
mawninde	34
mbasu	34
ngonnoo	34
raw	34
seek	34
sikki	34
tuggi	34
waɗ	34
abboo	33
afriknaaɓe	33
apr	33
ardiiɓe	33
ɓadii	33
baɗte	33
ɓaleejo	33
baramlefi	33
ɓesnoore	33
binndol	33
cewɗe	33
daawuuda	33
dote	33
faamde	33
famɗi	33
firtude	33
ganni	33
haade	33
helmere	33
jumaa	33
kabaruuji	33
keeri	33
lahal	33
mbuuɗu	33
moƴƴo	33
njanguuji	33
poolgu	33
rokki	33
roŋka	33
sahaaji	33
seesa	33
siwil	33
soldateeɓe	33
takko	33
tooro	33
añɓe	32
ɓaawo	32
ɓakkere	32
ɓamtude	32
berlal	32
camera	32
dabbunde	32
ɗumen	32
eyyo	32
fooɗa	32
galleeji	32
gardiiɗo	32
gawƴal	32
gbagbo	32
haaɗtirde	32
haɓɓude	32
hawrude	32
heeda	32
hello	32
jeenay	32
laaɓa	32
laamuuji	32
lamɗam	32
muusa	32
naata	32
ñihri	32
sokna	32
tijjaani	32
tumaani	32
yeewtude	32
york	32
yuɓɓo	32
aadi	31
aynaaɓe	31
ɓeydii	31
bonnude	31
ɓurɗe	31
cumu	31
dogde	31
eeraango	31
fade	31
geɗel	31
gollinde	31
haɓaade	31
hakkillaaji	31
haŋki	31
itta	31
ittira	31
janngooɓe	31
jeeri	31
jeyaaɗo	31
jeyeede	31
jolfe	31
jonte	31
kelle	31
konngo	31
konunkooɓe	31
kufi	31
laaci	31
lugge	31
maal	31
mbar	31
moo	31
nden	31
ngatamaare	31
onu	31
opitaal	31
post	31
rewa	31
waɗta	31
wiyaa	31
yiɗɓe	31
yiyannde	31
andi	30
ɓakke	30
barme	30
be	30
bowte	30
ɓurɗi	30
cd	30
ɗeɓa	30
geese	30
gonɗi	30
guri	30
jooɗorde	30
joolaa	30
joop	30
kaaloowo	30
kawral	30
kay	30
keɓal	30
korse	30
latiif	30
mbaɗa	30
mbeewa	30
muumal	30
ndaara	30
ndemri	30
niw	30
njuumri	30
noo	30
piɗtaali	30
puɗol	30
safalɓe	30
seerndude	30
taal	30
tiinde	30
waɗeede	30
waylude	30
yana	30
yiyi	30
abiword	29
battini	29
buubi	29
ceɓe	29
dakaar	29
daña	29
deeƴre	29
doŋre	29
famɗude	29
fawee	29
fota	29
gese	29
gorol	29
hankadi	29
heddiiɓe	29
helde	29
jeyaaka	29
kaan	29
konuuji	29
koolol	29
koppi	29
lanndaaji	29
majje	29
mboddi	29
moƴƴere	29
naatna	29
nande	29
ngamri	29
noddi	29
oto	29
pate	29
sarɗiiji	29
sonndu	29
tawaa	29
taƴre	29
too	29
ummoraade	29
waalde	29
yaawde	29
yamirde	29
yarde	29
yiytude	29
ɓurnde	28
cammeeje	28
ceŋle	28
ɗaanaade	28
daawal	28
darnude	28
daroo	28
dillo	28
duujal	28
engele	28
fayannde	28
fiyannde	28
gammbi	28
ho	28
hollude	28
jaynge	28
jikku	28
karallaagal	28
liberwiil	28
luukaali	28
maamuudu	28
mawngo	28
mbaawaa	28
mopti	28
nani	28
natti	28
ngona	28
njeenaari	28
nokkuure	28
orop	28
poɗɗe	28
sahnga	28
sankara	28
soɓɓiire	28
tooke	28
wiyeede	28
wooda	28
ƴeewde	28
adsense	27
ahmed	27
arta	27
aysata	27
ɓeydaade	27
ɓoggi	27
bonɗe	27
britaniya	27
carwoowo	27
cuun	27
dara	27
ɗimmu	27
duɗe	27
enternet	27
gabbe	27
gudde	27
haalan	27
hoɓɓe	27
iisaa	27
ittiraa	27
jaɓɓaade	27
jaɓde	27
jagga	27
jamaa	27
jinnaaɓe	27
jonnde	27
juutɗo	27
kal	27
kasoo	27
konaakiri	27
konnguɗi	27
kuulal	27
limto	27
nattude	27
ndema	27
ndiin	27
neeniwal	27
ngarii	27
ngonndi	27
nguura	27
paali	27
pottital	27
punndi	27
rajo	27
saka	27
saloo	27
tato	27
tiitoonde	27
toɓɓe	27
tokoose	27
tuggude	27
weddaade	27
woniri	27
yantude	27
ƴellitaare	27
yiilirde	27
yuɓɓinde	27
adan	26
baɗɗe	26
baɗɗi	26
ɓiyngel	26
bolle	26
ɓoornaade	26
ɓurɓe	26
deggondiral	26
duunde	26
fawaade	26
fawii	26
haaruuna	26
haɗi	26
horde	26
humpito	26
jaayndiyanke	26
jaayndiyankooɓe	26
jaw	26
joowre	26
kaari	26
kilimaa	26
kuccam	26
kuugal	26
kuwdi	26
leeɓol	26
london	26
maari	26
magaama	26
miliyoŋ	26
moƴƴii	26
musidɓe	26
musidɗo	26
muuyo	26
ñaamee	26
nanondiral	26
nawde	26
ngaal	26
septaamburu	26
soodde	26
waali	26
wataraa	26
wiyree	26
yahra	26
yettude	26
yiyeede	26
baydi	25
bongo	25
ɓurta	25
dillude	25
faandu	25
fadde	25
fayndaare	25
foofaandu	25
fotaani	25
garooji	25
heɓude	25
inɗe	25
jaɓa	25
jeyaaɓe	25
jolde	25
kaala	25
kaali	25
kuule	25
lawɓe	25
mawndi	25
meeɗaani	25
mosimage	25
muɓɓen	25
ndefu	25
ngaynaaka	25
niɓɓere	25
njaha	25
njaltudi	25
nofuru	25
ordinateer	25
pds	25
poliis	25
pul	25
roŋkude	25
ruttaade	25
safaara	25
salminde	25
senngo	25
suukara	25
tagofeere	25
tawee	25
time	25
toɗɗornde	25
weendu	25
wune	25
wuurde	25
aade	24
ablaay	24
bagi	24
bamɗi	24
ɓamude	24
ɓennii	24
biis	24
bin	24
ceggal	24
dammuhol	24
dawol	24
diƴƴe	24
duwaawu	24
faandaare	24
fannuuji	24
firta	24
fuɗɗiima	24
gaynaako	24
gollata	24
gorel	24
haalande	24
hoodere	24
ittirde	24
jaleeɗe	24
jeewte	24
jokkondiral	24
jooɗnde	24
joopornde	24
